catalog,schema,name,tbl_type,description,col_name,col_type,col_sort_order,col_description,is_partition_col,is_view
dw,lookup_db,sfdc_customer_profile,VIEW,,deployment_type,string,35,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,deployment_name,string,36,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,services_watchlist,boolean,37,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,services_watchlist_description,string,38,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,initial_deployment_partner,string,39,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,initial_priming_partner,string,40,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,services_approach,string,41,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,first_move_to_production_date_actual,string,42,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,customer_of,string,43,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,deployment_partner_name,string,44,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,technical_account_manager_full_name,string,45,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,technical_account_manager_email,string,46,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,number_of_employees,bigint,47,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,upcoming_or_recent_renewal,string,48,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,ppla_realized_acv,double,49,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,ppla_status,string,50,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,ppla_purchase_date,string,51,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,currencyisocode,string,52,,0,1
dw,lookup_db,sfdc_customer_profile,VIEW,,id,string,53,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,account_name,string,0,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,customer_number,double,1,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,data_center,string,2,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,tenant_name,string,3,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,tenant_type,string,4,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,tenant_sub_type,string,5,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,status,string,6,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,workday_version,bigint,7,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,tenant_created_date,string,8,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,tenant_start_date,string,9,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,tenant_expire_date,string,10,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,jumbo_tenant,boolean,11,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,gridflag,boolean,12,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,account_status,string,13,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,billing_id,string,14,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,sf_id,string,15,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,acquisition_external_id_c,string,16,,0,1
dw,lookup_db,sfdc_customer_tenants,VIEW,,id,string,17,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,case_id,string,0,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,customer_number,double,1,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,account_name,string,2,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,tenant_name,string,3,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,data_center,string,4,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,tenant_type,string,5,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,product,string,6,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,sub_product,string,7,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,initial_case_severity,string,8,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,severity,string,9,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,subject,string,10,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,status,string,11,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,sub_status,string,12,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,case_type,string,13,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,created_date_time,string,14,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,last_modified_date_time,string,15,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,case_resolution_date_time,string,16,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,owner_name,string,17,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,jira_id,string,18,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,customer_of,string,19,,0,1
dw,lookup_db,sfdc_customer_cases,VIEW,,sf_id,string,20,,0,1
