catalog,schema,name,tbl_type,description,col_name,col_type,col_sort_order,col_description,is_partition_col,is_view
dw,lookup_db,xo_class,MANAGED,,class_id,string,0,,0,0
dw,lookup_db,xo_class,MANAGED,,class_name,string,1,,0,0
dw,lookup_db,xo_class,MANAGED,,class_specification,string,2,,0,0
dw,lookup_db,xo_class,MANAGED,,data_manager,string,3,,0,0
dw,lookup_db,xo_class,MANAGED,,product_area,string,4,,0,0
dw,lookup_db,xo_class,MANAGED,,product,string,5,,0,0
dw,lookup_db,xo_class,MANAGED,,top_level_module,string,6,,0,0
dw,lookup_db,xo_class,MANAGED,,module,string,7,,0,0
dw,lookup_db,xo_class,MANAGED,,cache_strategy,string,8,,0,0
dw,lookup_db,xo_class,MANAGED,,created_on,string,9,,0,0
dw,lookup_db,xo_field,MANAGED,,field_id,string,0,,0,0
dw,lookup_db,xo_field,MANAGED,,field_name,string,1,,0,0
dw,lookup_db,xo_field,MANAGED,,type,string,2,,0,0
dw,lookup_db,xo_field,MANAGED,,business_object,string,3,,0,0
dw,lookup_db,xo_field,MANAGED,,top_level_module,string,4,,0,0
dw,lookup_db,xo_field,MANAGED,,module,string,5,,0,0
dw,lookup_db,xo_field,MANAGED,,created_on,string,6,,0,0
dw,lookup_db,xo_field,MANAGED,,product,string,7,,0,0
dw,lookup_db,xo_field,MANAGED,,product_area,string,8,,0,0
dw,lookup_db,xo_task,MANAGED,,task_id,string,0,,0,0
dw,lookup_db,xo_task,MANAGED,,task_name,string,1,,0,0
dw,lookup_db,xo_task,MANAGED,,product_area,string,2,,0,0
dw,lookup_db,xo_task,MANAGED,,product,string,3,,0,0
dw,lookup_db,xo_task,MANAGED,,top_level_module,string,4,,0,0
dw,lookup_db,xo_task,MANAGED,,module,string,5,,0,0
dw,lookup_db,xo_task,MANAGED,,created_on,string,6,,0,0
